Time,Timestamp,X,Y,Z,Magnitude,Pressure
16:11:52.071,0.27459716796,-0.99975585937,-0.02880859375,-1.96215820312,2.20236384993,954.77062244731
16:11:52.091,0.29440307617,-0.99975585937,-0.02880859375,-1.96215820312,2.20236384993,954.77062244731
16:11:52.116,0.31991577148,-0.99462890625,0.12512207031,-1.45910644531,1.77029201330,954.77062244731
16:11:52.133,0.33676147460,-0.99462890625,0.12512207031,-1.45910644531,1.77029201330,954.68021926376
16:11:52.151,0.35440063476,-0.99462890625,0.12512207031,-1.45910644531,1.77029201330,954.68021926376
16:11:52.171,0.37442016601,-0.99462890625,0.12512207031,-1.45910644531,1.77029201330,954.68021926376
16:11:52.195,0.39797973632,-0.73693847656,0.16564941406,-0.86999511718,1.15213260979,954.68021926376
16:11:52.212,0.41485595703,-0.73693847656,0.16564941406,-0.86999511718,1.15213260979,954.68021926376
16:11:52.231,0.43441772460,-0.73693847656,0.16564941406,-0.86999511718,1.15213260979,954.68021926376
16:11:52.251,0.45440673828,-0.73693847656,0.16564941406,-0.86999511718,1.15213260979,954.68021926376
16:11:52.277,0.47991943359,-0.25817871093,0.0595703125,-0.32861328125,0.42212741859,954.68021926376
16:11:52.293,0.49673461914,-0.25817871093,0.0595703125,-0.32861328125,0.42212741859,954.65935746254
16:11:52.311,0.51437377929,-0.25817871093,0.0595703125,-0.32861328125,0.42212741859,954.65935746254
16:11:52.331,0.53439331054,-0.25817871093,0.0595703125,-0.32861328125,0.42212741859,954.65935746254
16:11:52.356,0.55993652343,0.25378417968,-0.11083984375,0.08227539062,0.28889638406,954.65935746254
16:11:52.373,0.57681274414,0.25378417968,-0.11083984375,0.08227539062,0.28889638406,954.65123010758
16:11:52.391,0.59442138671,0.25378417968,-0.11083984375,0.08227539062,0.28889638406,954.65123010758
16:11:52.411,0.61441040039,0.25378417968,-0.11083984375,0.08227539062,0.28889638406,954.65123010758
16:11:52.435,0.63800048828,0.5322265625,-0.21643066406,0.29479980468,0.64576642141,954.65123010758
16:11:52.451,0.65478515625,0.5322265625,-0.21643066406,0.29479980468,0.64576642141,954.65123010758
16:11:52.471,0.67440795898,0.5322265625,-0.21643066406,0.29479980468,0.64576642141,954.65123010758
16:11:52.491,0.69442749023,0.5322265625,-0.21643066406,0.29479980468,0.64576642141,954.65123010758
16:11:52.517,0.71990966796,0.5400390625,-0.19482421875,0.28967285156,0.64304667495,954.65123010758
16:11:52.533,0.73672485351,0.5400390625,-0.19482421875,0.28967285156,0.64304667495,954.67971289138
16:11:52.551,0.75442504882,0.5400390625,-0.19482421875,0.28967285156,0.64304667495,954.67971289138
16:11:52.571,0.7744140625,0.5400390625,-0.19482421875,0.28967285156,0.64304667495,954.67971289138
16:11:52.596,0.79992675781,0.37170410156,-0.1201171875,0.11328125,0.40672437774,954.67971289138
16:11:52.613,0.81671142578,0.37170410156,-0.1201171875,0.11328125,0.40672437774,954.68788947872
16:11:52.631,0.83438110351,0.37170410156,-0.1201171875,0.11328125,0.40672437774,954.68788947872
16:11:52.651,0.85440063476,0.37170410156,-0.1201171875,0.11328125,0.40672437774,954.68788947872
16:11:52.675,0.87799072265,0.03063964843,-0.05395507812,-0.18994140625,0.19981910899,954.68788947872
16:11:52.692,0.89483642578,0.03063964843,-0.05395507812,-0.18994140625,0.19981910899,954.68788947872
16:11:52.711,0.91439819335,0.03063964843,-0.05395507812,-0.18994140625,0.19981910899,954.68788947872
16:11:52.731,0.93444824218,0.03063964843,-0.05395507812,-0.18994140625,0.19981910899,954.68788947872
16:11:52.757,0.95993041992,-0.39221191406,-0.04711914062,-0.6044921875,0.72212270681,954.68788947872
16:11:52.774,0.97683715820,-0.39221191406,-0.04711914062,-0.6044921875,0.72212270681,954.68665415961
16:11:52.791,0.99444580078,-0.39221191406,-0.04711914062,-0.6044921875,0.72212270681,954.68665415961
16:11:52.811,1.01437377929,-0.39221191406,-0.04711914062,-0.6044921875,0.72212270681,954.68665415961
16:11:52.836,1.03991699218,-0.74572753906,-0.08239746093,-1.08764648437,1.32131517022,954.68665415961
16:11:52.854,1.05682373046,-0.74572753906,-0.08239746093,-1.08764648437,1.32131517022,954.68831408177
16:11:52.871,1.07437133789,-0.74572753906,-0.08239746093,-1.08764648437,1.32131517022,954.68831408177
16:11:52.891,1.09439086914,-0.74572753906,-0.08239746093,-1.08764648437,1.32131517022,954.68831408177
16:11:52.915,1.11798095703,-0.89599609375,-0.12390136718,-1.55163574218,1.79603285750,954.68831408177
16:11:52.932,1.13491821289,-0.89599609375,-0.12390136718,-1.55163574218,1.79603285750,954.68831408177
16:11:52.951,1.15441894531,-0.89599609375,-0.12390136718,-1.55163574218,1.79603285750,954.68831408177
16:11:52.971,1.17443847656,-0.89599609375,-0.12390136718,-1.55163574218,1.79603285750,954.68831408177
16:11:52.997,1.19995117187,-0.89831542968,-0.23815917968,-1.93371582031,2.14544803708,954.68831408177
16:11:53.014,1.21682739257,-0.89831542968,-0.23815917968,-1.93371582031,2.14544803708,954.74349733006
16:11:53.031,1.23428344726,-0.89831542968,-0.23815917968,-1.93371582031,2.14544803708,954.74349733006
16:11:53.051,1.25442504882,-0.89831542968,-0.23815917968,-1.93371582031,2.14544803708,954.74349733006
16:11:53.076,1.27981567382,-0.95043945312,-0.39465332031,-2.10559082031,2.34362947154,954.74349733006
16:11:53.094,1.296875,-0.95043945312,-0.39465332031,-2.10559082031,2.34362947154,954.74455841410
16:11:53.111,1.31442260742,-0.95043945312,-0.39465332031,-2.10559082031,2.34362947154,954.74455841410
