avg_accX,min_accX,max_accX,var_accX,avg_accY,min_accY,max_accY,var_accY,avg_accZ,min_accZ,max_accZ,var_accZ,avg_magnitude,min_magnitude,max_magnitude,var_magnitude,avg_pressure,min_pressure,max_pressure,var_pressure,slope_pressure,Label
-0.243445467,-0.248413086,-0.237060547,7.09E-06,0.098889803,0.086547852,0.109619141,3.74E-05,0.969028834,0.958251953,0.976806641,2.22E-05,1.00396941,0.993337535,1.011592084,2.35E-05,969.9100766,969.9021093,969.9168833,1.18E-05,-9.84E-05,Null
-0.65524292,-1.016479492,-0.223876953,0.081254821,0.39213623,0.087036133,0.720458984,0.038247257,0.536115723,0.109985352,1.014404297,0.093193152,1.039197569,0.899187538,1.157087268,0.005404362,969.8800535,969.8172096,969.9452206,0.001218308,0.000172214,Null
-0.674622803,-0.888305664,-0.428710938,0.010460465,0.599385986,0.029785156,0.783081055,0.029495829,0.210615234,-0.145751953,0.909790039,0.087006269,0.990606214,0.884170888,1.076778829,0.003162151,969.9232956,969.8847018,969.9747096,0.000718412,0.000472968,Null
-0.338388672,-0.428710938,-0.310668945,0.000449141,-0.031512451,-0.08605957,0.029785156,0.001151417,0.943796387,0.909790039,0.957519531,8.75E-05,1.003944079,0.998214954,1.015193738,1.92E-05,969.9131897,969.896707,969.9600855,0.00033206,-0.000461739,Null
-0.323829361,-0.333007813,-0.310546875,4.04E-05,0.023973682,0.008178711,0.034423828,4.91E-05,0.951976921,0.942993164,0.956787109,1.55E-05,1.005876116,0.995792919,1.012989586,1.74E-05,969.9112606,969.9033368,969.9210658,3.61E-05,0.000240429,Null
-0.723234925,-0.727783203,-0.717529297,8.47E-06,0.636320863,0.626464844,0.655761719,4.00E-05,0.334303458,0.30847168,0.354370117,0.00019701,1.019783431,1.010987013,1.027569438,1.76E-05,969.9199004,969.9053749,969.933019,7.50E-05,-0.000107267,Null
-0.71808831,-0.731567383,-0.703979492,3.83E-05,0.649178478,0.62902832,0.660400391,7.10E-05,0.30060499,0.290039063,0.309936523,3.14E-05,1.01370585,1.002293007,1.023344443,2.97E-05,969.9387124,969.9285902,969.9529503,4.76E-05,-5.56E-06,Null
-0.698590621,-0.798583984,-0.628051758,0.001466072,0.684231953,0.623046875,0.741577148,0.000734445,0.288878209,0.2265625,0.341796875,0.001287069,1.021238738,0.993042187,1.058961319,0.000195887,969.9355694,969.900283,969.9638463,0.000142215,-4.18E-06,Null
-0.802147709,-0.897460938,-0.701660156,0.00239368,0.518526144,0.301269531,0.706787109,0.015083944,0.353106902,0.248657227,0.486816406,0.005358703,1.027395464,0.934137194,1.186535073,0.004196947,969.9204814,969.8923721,969.9590488,0.000406838,0.000167511,Null
-0.720103526,-0.897460938,-0.595458984,0.005128106,0.628930285,0.424316406,0.79675293,0.009450934,0.396679182,0.256347656,0.572021484,0.007602854,1.042805472,0.923887384,1.186535073,0.006112143,969.9366301,969.9122558,969.9770037,0.00025237,5.94E-05,Null
-0.722404359,-0.841674805,-0.5546875,0.005405107,0.537841151,0.247558594,0.87878418,0.016389906,0.448635525,0.240356445,0.766357422,0.018961359,1.022855915,0.861492306,1.258428139,0.006757254,969.9317242,969.9103093,969.9740103,0.00037336,0.000114845,Null
-0.765525609,-1.176513672,-0.48828125,0.035284847,0.50704339,0.346679688,0.770751953,0.012403088,0.473516079,0.046630859,0.750488281,0.030424824,1.066115938,0.920695909,1.27276819,0.008468933,969.9181556,969.877552,969.9563393,0.000403346,-0.000193884,Null
-0.992620918,-1.234741211,-0.802246094,0.012900492,0.316740229,-0.478149414,0.674926758,0.06203529,0.217376366,0.01550293,0.364868164,0.008901734,1.096334929,0.942609999,1.43499601,0.014370118,969.9179284,969.8629951,970.322297,0.008560523,0.000194876,Null
-0.897930978,-0.948730469,-0.820800781,0.001136809,0.435980435,0.265869141,0.560058594,0.004782614,0.132604139,-0.157836914,0.254516602,0.007836737,1.013244198,0.90124544,1.069494541,0.000961663,969.9076683,969.8822408,969.9445913,0.000432533,-5.71E-06,Null
-0.929133789,-0.940673828,-0.915161133,4.17E-05,0.405959961,0.365478516,0.454833984,0.000566201,0.118494141,0.076293945,0.151733398,0.00042918,1.021270809,0.998134803,1.042721444,0.000170044,969.8938489,969.8866571,969.9069117,3.41E-05,-3.97E-05,Null
-0.76213623,-0.927490234,-0.641967773,0.013302151,0.615651855,0.387817383,0.886352539,0.019157319,-0.191538086,-0.486083984,0.291503906,0.081672639,1.051592951,0.983191861,1.242011904,0.003746195,969.9090949,969.8635771,970.0552347,0.00276333,-0.00017796,Null
-0.650992432,-0.670166016,-0.567504883,0.000492129,0.710609131,0.656982422,0.837890625,0.0022769,-0.352701416,-0.408935547,-0.241577148,0.00287663,1.028895678,1.008042383,1.0633978,0.000118847,969.872269,969.8604167,969.8891048,6.41E-05,0.000193521,Null
-0.679782715,-0.898681641,-0.544921875,0.01020523,0.737028809,0.538452148,0.885009766,0.010963539,-0.230997314,-0.364746094,-0.000732422,0.007474562,1.04113539,0.937024799,1.176494426,0.003100767,969.8840567,969.8459204,969.9389894,0.000581345,0.000264724,Null
