Participant,avg_accX,min_accX,max_accX,var_accX,std_accX,avg_accY,min_accY,max_accY,var_accY,std_accY,avg_accZ,min_accZ,max_accZ,var_accZ,std_accZ,avg_magnitude,min_magnitude,max_magnitude,var_magnitude,std_magnitude,var_pressure,range_pressure,std_pressure,slope_pressure,kurtosis_pressure,skew_pressure
01,0.021308487996345608,0.025543286185927966,0.0211169762391895,0.036348678055808124,0.03439725300864929,0.0169235720924662,0.017129018348595006,0.01974526506697593,0.022738444669169848,0.02244103942312046,0.01915424161902187,0.02064096237951111,0.017983245877837215,0.02609540297172008,0.026490580401008816,0.02715789073916518,0.03286210933681134,0.05659280911624166,0.07856321141731361,0.07156245717975661,0.03144335575389902,0.02483113510963156,0.030714330031169575,0.2513686459921925,0.028032214694890575,0.018815386293581444
02,0.020138149624863398,0.02696221528133786,0.022180261422751542,0.03696798915932695,0.033932433870322354,0.01854155806191761,0.018053906126079218,0.020918915209144903,0.020985952908239527,0.021306181126824728,0.019421815194154753,0.021626275787322565,0.01897718673752712,0.027640578509651834,0.027249672267431174,0.02562026594957629,0.03249791503594052,0.05270763220004615,0.07926918165475488,0.07232997951004448,0.030880941975345952,0.025383387836191925,0.02966203736588521,0.2467751844952862,0.030035396883205202,0.01993498580682772
03,0.02206774016918418,0.027098437469013508,0.022112599013623287,0.03557931728574247,0.03333889375975602,0.017390116953505837,0.017583802523575626,0.020155390468016773,0.02069365682648652,0.02260159824043661,0.01934315305878961,0.02062482672067698,0.01813843420283388,0.026728147598572866,0.028919771973869426,0.028228552699392558,0.03470333272437438,0.052203268881203094,0.07491760065137007,0.07510153611293015,0.030729924447104585,0.02476244769150995,0.02920812583359676,0.2491969997957526,0.029777534480505834,0.018794790418176395
04,0.02363500071322723,0.02624886117468611,0.021459757267864584,0.03626825003468526,0.03472482424047391,0.017406125801336037,0.018159970712162975,0.019856695816674354,0.022350943322980703,0.021056451398879582,0.01817259479599496,0.019647325970879648,0.018491805562764006,0.02688538527574858,0.028319240632832025,0.028973598071383114,0.03260363792136696,0.051723123266918074,0.08113993744760718,0.07173445828917854,0.029995960851435768,0.02490935730541693,0.029076419897437054,0.24783646475380786,0.030001398406550382,0.01932241106770822
05,0.022399725367114823,0.026928919433126933,0.023801350163350627,0.03382322212708075,0.033506253384638016,0.017246401826255208,0.01667378893894027,0.02050835065922449,0.020487893717925428,0.020714050037938893,0.019169875757646514,0.02081195756447429,0.017827871213151422,0.027223467971495104,0.028638992584326874,0.02773895924069458,0.032846382076389694,0.05182504729222316,0.08072217201820991,0.07493270373737122,0.03072194861669569,0.026370450897286832,0.03188670075961442,0.24354620283753747,0.03008642310855868,0.01956088866872881
06,0.024084175830983535,0.03475988803240356,0.02401168329368039,0.03375198104167103,0.032968150779131455,0.019040188190736818,0.017794130534632847,0.01936747648017462,0.020298148444272374,0.02042862284663703,0.0200020802108144,0.020550481388688157,0.01928057526931998,0.025944283300156062,0.03104080348817929,0.02817968574689714,0.03138323274865788,0.051138595743720504,0.07708403316925175,0.07274149646097278,0.03173472958243039,0.023507528961831087,0.030598112746180378,0.24036915583649607,0.03074254604060893,0.01919821383147162
07,0.021866602269640722,0.026979339421274805,0.022613509198178297,0.03648702525401613,0.03258484817215226,0.017661809684620576,0.0180384755401733,0.019222342678694358,0.020277026266561856,0.021215219768702605,0.01817806557442859,0.02032249118753799,0.01757845537058096,0.025576499035010067,0.028222189859891115,0.02749973275121703,0.03460286379898623,0.05113767429141874,0.07719667291024214,0.07288851060551585,0.030343910932070145,0.025695582917115607,0.03251545144191316,0.25246422055279566,0.029760600701386808,0.01907087981587494
08,0.022527334576450835,0.027250451231530085,0.022998985667336602,0.03713747816531066,0.03554807967408924,0.017460933003484246,0.017783855871872686,0.019668925248080133,0.020462974690043413,0.02150908084608584,0.019126934357923772,0.02010967808019704,0.018807708313525014,0.02664552738468377,0.028525024607473047,0.027175685497338512,0.03132560276726486,0.05027349236521251,0.08030581167081348,0.07044953705157334,0.030735969448124078,0.02519414240208857,0.030685553037744003,0.25038914980097515,0.029354305960948394,0.018547778279830934
09,0.022207839907502722,0.025816972384977946,0.022899966357453203,0.034783258293689584,0.03485629902137943,0.017778509357001045,0.018761627545472875,0.020334200673214956,0.02155255600587978,0.02161437991935305,0.018939103091409712,0.020601404665977003,0.01800792401061481,0.02601889985952672,0.027740181995160217,0.027539087229388814,0.03220440891065926,0.05396110739857106,0.0820241938256588,0.07132821384941353,0.029842189033511674,0.025328269598685026,0.031431969503980715,0.24479778251104917,0.029942202197967168,0.01968745285250152
10,0.02217480761590874,0.031764583222109566,0.02278658807604068,0.036382212246109706,0.03374756308468515,0.018191481907360404,0.018000051776036575,0.01992211564661231,0.021045466848745496,0.021751492578150518,0.01919294007399047,0.019829572113068572,0.01740321013540282,0.025586592611835823,0.02745983977458642,0.026996689803095324,0.02847830531677187,0.05017282229165503,0.08297728856688608,0.06822129387724242,0.031826903277391884,0.026753483902130774,0.03118484397077587,0.24941511847937245,0.029013671556913718,0.019721061247121283
11,0.021757931255603706,0.02641571386497183,0.022097180433211853,0.03644093018752157,0.03442693901439898,0.017731682208698956,0.01804345851684269,0.019998637899417256,0.023447952902066933,0.02256063487476559,0.01982458533140758,0.020223129766923413,0.018363811465054548,0.02569865735706107,0.027397807649177878,0.02743552342048591,0.03093033995412812,0.052799370083942115,0.07954843654591977,0.07360266127504608,0.031353433071109965,0.02493916876596591,0.03077337860784358,0.24517327801889707,0.029350805889650264,0.019664551639887246
12,0.02160446697970332,0.026418288825540644,0.022409292663033178,0.0400472697311261,0.03581462000899651,0.018513207882514655,0.01885034378792218,0.021124169570861325,0.022690084704668944,0.022001851389812633,0.019479756297440178,0.02038353315508646,0.017821754409349796,0.02546503749987198,0.02695634601765748,0.02532141199416485,0.03289206885342236,0.049623529624174746,0.07955860287156255,0.07379751449465258,0.0318441726463866,0.025578051639863347,0.030249446015754043,0.24200422546977407,0.030057329790181532,0.019493623676478024
13,0.021784031947725584,0.027464889273699358,0.02195454071968,0.034667304597808785,0.03460243451281151,0.01747893686828153,0.01828917260067033,0.020328675985679195,0.02006021409310654,0.02252715773762247,0.019229290132289276,0.021214640434126752,0.017809384971320313,0.027817763563268084,0.029056471974252464,0.027031235827295347,0.03322703843872084,0.051314595849994496,0.07941637008583009,0.07140418771175709,0.03013403124337484,0.02464849317992414,0.03179106466331077,0.24856221910206383,0.028643368379050363,0.019542486106336125
14,0.02307608070616065,0.03335390839332295,0.02433380336932399,0.03611481644502643,0.03344571723862266,0.017744962772683264,0.017718497201384027,0.019538036428153244,0.02049788178978596,0.02290946414845982,0.018635107733018262,0.02034661371200336,0.017758020096836503,0.026014303311910996,0.026193387330856677,0.02592596355784997,0.030559818862821456,0.049470099912014544,0.08120470747620842,0.07075109284960929,0.03218624663872565,0.025912802515447336,0.03084665352037613,0.24533722421675108,0.03074357133063062,0.019381218442016894
15,0.021853856816764525,0.026646120515099878,0.021361947005500242,0.03529033746034687,0.0330433004290069,0.017339410288976426,0.0180409368054501,0.019600985624602735,0.021678715160661537,0.021122196454230406,0.018912211177198296,0.02042419079847633,0.01811057118987248,0.0266064872212593,0.0276024872681101,0.026667995105003596,0.03371630116937592,0.05350332738621069,0.07869930066034551,0.07613337504658324,0.0326952908254626,0.025810998949996045,0.03058227620129529,0.24473484632242362,0.030007534087914442,0.01981500002983307
16,0.02235146267435479,0.03084402996779452,0.02242207469013366,0.036972066046106054,0.03500545358210461,0.018074092904198244,0.018713719422201777,0.02055453611626689,0.020040510459236962,0.021703121302874488,0.01939378935260573,0.020403199211888778,0.018513253728503216,0.02644292244358756,0.027753936461410764,0.026506506096770414,0.030822561369812984,0.054013061422013786,0.07741236984915456,0.07317872808751388,0.030386837190711398,0.025634095260073597,0.030691914760587236,0.24445402649980094,0.02815842078465018,0.019553310315642943
